AIR_TIME,ARR,ARR_Pr,ARR_delay_time,ARR_delay_times,DEP,DEP_Pr,DEP_delay_time,DEP_delay_times,DISTANCE,total_flight
287.047486,SEA,0.181564246,65.35384615,65,ATL,0.17877095,71.78125,64,2182,358
265.0731707,SFO,0.182926829,84.56666667,60,ATL,0.195121951,86.765625,64,2139,328
78.31578947,SGF,0.184210526,51.85714286,21,ATL,0.254385965,47.06896552,29,563,114
78.94387755,SHV,0.173469388,67.26470588,34,ATL,0.178571429,58.57142857,35,551,196
263.5346535,SJC,0.227722772,76.30434783,23,ATL,0.297029703,67.9,30,2116,101
190.6304348,SJU,0.188405797,57.26923077,26,ATL,0.231884058,51.6875,32,1547,138
204.5436893,SLC,0.171521036,60.52830189,53,ATL,0.216828479,57.47761194,67,1590,309
259.6404494,SMF,0.191011236,94.17647059,17,ATL,0.235955056,81.71428571,21,2092,89
235.1946903,SNA,0.159292035,71,18,ATL,0.194690265,70.36363636,22,1919,113
66.61057692,SRQ,0.206730769,72.34883721,43,ATL,0.230769231,71.0625,48,444,208
72.57103064,STL,0.183844011,73.78787879,66,ATL,0.231197772,67.1686747,83,484,359
192.3714286,STT,0.142857143,41.8,5,ATL,0.114285714,56,4,1599,35
200.25,STX,0.5,48.5,2,ATL,0.25,102,1,1638,4
102.3483146,SYR,0.179775281,50.8125,16,ATL,0.191011236,53.05882353,17,794,89
38.24365482,TLH,0.172588832,73.58823529,34,ATL,0.182741117,67.5,36,223,197
60.14772727,TPA,0.237012987,59.84246575,146,ATL,0.25974026,58.46875,160,406,616
40.35602094,TRI,0.104712042,107.75,20,ATL,0.104712042,113.8,20,227,191
97.16129032,TTN,0.516129032,71.25,16,ATL,0.516129032,87.5,16,701,31
92.26530612,TUL,0.149659864,62.27272727,22,ATL,0.170068027,52.72,25,674,147
183.9655172,TUS,0.224137931,52.07692308,13,ATL,0.224137931,63.84615385,13,1541,58
102.5333333,TVC,0.066666667,92,1,ATL,0.133333333,37,2,769,15
30.96850394,TYS,0.149606299,81.60526316,38,ATL,0.157480315,76.925,40,152,254
38.56179775,VLD,0.202247191,46.38888889,18,ATL,0.123595506,54.63636364,11,208,89
41.43661972,VPS,0.150234742,83.3125,32,ATL,0.178403756,73.13157895,38,250,213
81.81065089,XNA,0.224852071,61.31578947,38,ATL,0.213017751,55.08333333,36,589,169
105.3636364,ATL,0.145454545,84.25,8,ATW,0.145454545,79,8,765,55
186.5,AZA,0.125,39,1,ATW,0.25,38,2,1452,8
126.4516129,DEN,0.258064516,53.5,8,ATW,0.161290323,54,5,883,31
50.18446602,DTW,0.097087379,97.7,10,ATW,0.087378641,104.7777778,9,296,103
203.4444444,LAS,0.444444444,37.75,4,ATW,0.444444444,33.25,4,1510,9
44.39814815,MSP,0.175925926,91.52631579,19,ATW,0.175925926,87.47368421,19,236,108
38.15720524,ORD,0.187772926,73.60465116,43,ATW,0.152838428,81.28571429,35,160,229
145.625,PIE,0.125,20,1,ATW,0.125,29,1,1173,8
146,SFB,0.222222222,49,2,ATW,0.111111111,57,1,1141,9
82.04444444,ABQ,0.222222222,56.1,10,AUS,0.222222222,60.3,10,619,45
109.1928783,ATL,0.175074184,61.03389831,59,AUS,0.151335312,59.7254902,51,813,337
103.21875,BNA,0.239583333,92.82608696,23,AUS,0.291666667,85.35714286,28,756,96
214.1827957,BOS,0.193548387,65.72222222,18,AUS,0.204301075,62.26315789,19,1698,93
170.9285714,BUF,0.571428571,59.875,8,AUS,0.285714286,88.5,4,1366,14
167.9016393,BWI,0.262295082,44.3125,16,AUS,0.278688525,48,17,1342,61
140.8888889,CHS,0.444444444,45,4,AUS,0.222222222,61,2,1055,9
150.6470588,CLE,0.529411765,59,9,AUS,0.411764706,63.71428571,7,1174,17
128.508982,CLT,0.155688623,65.5,26,AUS,0.19760479,59.93939394,33,1032,167
142.6428571,CMH,0.214285714,33.33333333,3,AUS,0.214285714,36,3,1073,14
119.5102041,CVG,0.204081633,38.9,10,AUS,0.204081633,40.8,10,958,49
37.74647887,DAL,0.172535211,51.59183673,49,AUS,0.204225352,49.51724138,58,189,284
171.1290323,DCA,0.258064516,59.25,8,AUS,0.129032258,95,4,1315,31
106.8743017,DEN,0.184357542,76.06060606,66,AUS,0.195530726,73.72857143,70,775,358
39.18292683,DFW,0.216463415,68.69014085,71,AUS,0.210365854,69.97101449,69,190,328
151.6979167,DTW,0.09375,100.6666667,9,AUS,0.145833333,71,14,1149,96
95.4,ECP,0.4,22,4,AUS,0.4,30.5,4,710,10
69.32926829,ELP,0.158536585,41.38461538,13,AUS,0.207317073,40.29411765,17,528,82
190.1325967,EWR,0.29281768,98.37735849,53,AUS,0.26519337,86.4375,48,1504,181
147.9247312,FLL,0.172043011,59.75,16,AUS,0.204301075,53.31578947,19,1105,93
33.47741935,HOU,0.290322581,57.06666667,45,AUS,0.232258065,60.86111111,36,148,155
44.16129032,HRL,0.225806452,44.28571429,7,AUS,0.290322581,43.22222222,9,273,31
170.588785,IAD,0.299065421,82.40625,32,AUS,0.214953271,92.30434783,23,1297,107
33.52830189,IAH,0.173584906,58.5,46,AUS,0.132075472,64.31428571,35,140,265
124.1851852,IND,0.222222222,137.8333333,6,AUS,0.111111111,246.3333333,3,919,27
113.5555556,JAX,0.222222222,69,2,AUS,0.222222222,43.5,2,954,9
